country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Philippines,PHL,Asia,South-Eastern Asia,2014,BiocapPerCap,0.343180836,0.015671951,0.093094526,0.066441719,0.060056538,0,0.578445571,2505.82,99139000
Poland,POL,Europe,Eastern Europe,2014,BiocapPerCap,1.058725674,0.066727254,0.75440923,0.107192472,0.088710762,0,2.075765392,14088.7,38620000
Portugal,PRT,Europe,Southern Europe,2014,BiocapPerCap,0.252336872,0.06392476,0.85527484,0.07429165,0.024468741,0,1.270296863,21533.5,10402000
Qatar,QAT,Asia,Western Asia,2014,BiocapPerCap,0.008890859,8.50E-05,0,1.116275852,0.052148931,0,1.177400635,67901.2,2172000
Réunion,REU,Africa,Eastern Africa,2014,BiocapPerCap,0,0,0,0,0,0,0.186221978,0,855000
Romania,ROU,Europe,Eastern Europe,2014,BiocapPerCap,1.228234347,0.12242085,1.275366681,0.092618214,0.159545909,0,2.878186001,9158.52,19652000
Russian Federation,RUS,Europe,Eastern Europe,2014,BiocapPerCap,0.968268991,0.344267428,4.332732888,1.194291885,0.037207863,0,6.876769056,11493.7,143429000
Rwanda,RWA,Africa,Eastern Africa,2014,BiocapPerCap,0.351389059,0.051975704,0.014356248,0.005414143,0.047568212,0,0.470703366,672.749,11342000
Saint Lucia,LCA,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.082190837,0.001493426,0.093951757,0.140583465,0.001923422,0,0.320142908,7987.53,184000
Samoa,WSM,Oceania,Polynesia,2014,BiocapPerCap,0,0,0,0,0,0,1.878051337,3524.6,192000
Sao Tome and Principe,STP,Africa,Middle Africa,2014,BiocapPerCap,0,0,0,0,0,0,1.019811407,1241,186000
Saudi Arabia,SAU,Asia,Western Asia,2014,BiocapPerCap,0.054600238,0.109740025,0.059446753,0.165125455,0.024575796,0,0.413488266,21183.5,30887000
Senegal,SEN,Africa,Western Africa,2014,BiocapPerCap,0.201449729,0.16515801,0.426198855,0.162084301,0.026325066,0,0.981215961,1018.39,14673000
Serbia,SRB,Europe,Southern Europe,2014,BiocapPerCap,1.090953888,0.017694281,0.494621585,0.003519955,0.064315749,0,1.671105458,5593.06,8893000
Sierra Leone,SLE,Africa,Western Africa,2014,BiocapPerCap,0.454900497,0.337747235,0.186127012,0.214200987,0.05946452,0,1.25244025,563.174,6316000
Singapore,SGP,Asia,South-Eastern Asia,2014,BiocapPerCap,0.000882023,0,0.002384712,0.013125142,0.042258644,0,0.058650521,51865.7,5507000
Slovakia,SVK,Europe,Eastern Europe,2014,BiocapPerCap,0.958279576,0.055317627,1.838969546,0.002184928,0.125234131,0,2.979985807,18003.5,5423000
Slovenia,SVN,Europe,Southern Europe,2014,BiocapPerCap,0.300963447,0.086826107,1.85566008,0.004252922,0.024921849,0,2.272624405,23224.4,2066000
Somalia,SOM,Africa,Eastern Africa,2014,BiocapPerCap,0.052666399,0.552489435,0.210679592,0.326842269,0.032934289,0,1.175611983,0,10518000
South Africa,ZAF,Africa,Southern Africa,2014,BiocapPerCap,0.293456403,0.563987595,0.019347229,0.166106439,0.035049346,0,1.077947013,7626.81,53969000
South Sudan,SSD,Africa,Northern Africa,2014,BiocapPerCap,0.262876014,0.989064319,0.33946147,0,0.047568176,0,1.638969979,820.114,11911000
Spain,ESP,Europe,Southern Europe,2014,BiocapPerCap,0.794662173,0.098343729,0.33712952,0.059184248,0.038755653,0,1.328075323,29496.4,46260000
Sri Lanka,LKA,Asia,Southern Asia,2014,BiocapPerCap,0.290278217,0.020249265,0.045105864,0.069376453,0.056385407,0,0.481395207,3506.73,20619000
Sudan,SDN,Africa,Northern Africa,2014,BiocapPerCap,0.464641646,0.350014438,0.278303188,0.017978183,0.038348491,0,1.149285945,1837.14,39350000
Suriname,SUR,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.404774361,0.028789023,80.26893646,7.414159105,0.095743393,0,88.21240235,8942.96,538000
