country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Turkey,TUR,Asia,Western Asia,2014,EFConsPerCap,0.802071787,0.108725564,0.321545394,0.029696491,0.034092161,1.911729273,3.20786067,13312,77524000
Turkmenistan,TKM,Asia,Central Asia,2014,EFConsPerCap,0.543978495,0.582312505,0.085601571,0.007457058,0.070976808,4.272752261,5.563078698,6399.27,5307000
Uganda,UGA,Africa,Eastern Africa,2014,EFConsPerCap,0.294869642,0.144744445,0.513101029,0.09728994,0.035847523,0.10109529,1.186947869,642.877,37783000
Ukraine,UKR,Europe,Eastern Europe,2014,EFConsPerCap,1.020675063,0.016056752,0.146292672,0.076234748,0.083908296,1.620827308,2.963994838,3123.92,45002000
United Arab Emirates,ARE,Asia,Western Asia,2014,EFConsPerCap,0.839851395,0.244828637,0.512796903,0.301698174,0,7.853405746,9.752580855,39034.4,9086000
United Kingdom,GBR,Europe,Northern Europe,2014,EFConsPerCap,0.83242341,0.249947415,0.483055357,0.081926234,0.15563516,2.996228558,4.799216134,40908.7,64331000
United States of America,USA,North America,North America,2014,EFConsPerCap,1.039327115,0.298852503,0.831752575,0.13521935,0.083459448,5.977440568,8.366051558,50782.5,319449000
Uruguay,URY,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.236225377,1.357100891,0.39014977,0.054283664,0.145689415,0.797733295,2.981182412,13856.7,3420000
Uzbekistan,UZB,Asia,Central Asia,2014,EFConsPerCap,0.584944705,0.175285557,0.092747,0.005296216,0.080183451,1.232248958,2.170705887,1744.49,29470000
Vanuatu,VUT,Oceania,Melanesia,2014,EFConsPerCap,0,0,0,0,0,0,3.796226007,2909.78,259000
"Venezuela, Bolivarian Republic of",VEN,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.459584486,0.766616908,0.113567626,0.081115669,0.034962785,1.815395894,3.271243368,13709,30694000
Viet Nam,VNM,Asia,South-Eastern Asia,2014,EFConsPerCap,0.589836233,0.010110342,0.188275043,0.046560645,0.112355596,0.786935951,1.73407381,1596.35,92423000
Yemen,YEM,Asia,Western Asia,2014,EFConsPerCap,0.264564789,0.139436055,0.041573599,0.03982264,0.029481749,0.49305082,1.007929652,1101.12,26184000
Zambia,ZMB,Africa,Eastern Africa,2014,EFConsPerCap,0.199359561,0.159753857,0.303949266,0.034802299,0.039779961,0.216313951,0.953958895,1620.82,15721000
Zimbabwe,ZWE,Africa,Eastern Africa,2014,EFConsPerCap,0.157530302,0.288169511,0.266993099,0.007962904,0.018115059,0.349361925,1.0881328,939.78,15246000
