country,UN_region,year,BC_crop_land,BC_grazing_land,BC_forest_land,BC_fishing_ground,BC_built_up_land,BC_total,EF_crop_land,EF_grazing_land,EF_forest_land,EF_fishing_ground,EF_built_up_land,EF_total,population
Mauritius,Africa,2014,0,0,0,0,0,0.711835059,0,0,0,0,0,3.495044293,1269000
Mexico,Latin America and the Caribbean,2014,0.341351016,0.234328798,0.445763724,0.134698358,0.04584779,1.201989686,0.504132909,0.245427854,0.25029523,0.07777437,0.04584779,2.548578354,125386000
"Micronesia, Federated States of",Oceania,2014,0,0,0,0,0,3.829960065,0,0,0,0,0,5.68478836,104000
Moldova,Europe,2014,0.950106446,0.060374122,0.085767515,0.008848422,0.055023732,1.160120237,0.665640638,0.068999175,0.226125727,0.05602529,0.055023732,1.927385013,4072000
Mongolia,Asia,2014,0.213522927,7.955729627,6.590330471,0.133436331,0.065673785,14.95869314,0.28378191,4.589000451,0.162906106,0.003872621,0.065673785,9.49986957,2910000
Montenegro,Europe,2014,0.055839692,0.107279323,2.591725831,0.242595647,0.020571218,3.018011711,0.573663759,0.277866212,0.513345869,0.054389386,0.020571218,3.416702745,625000
Montserrat,Latin America and the Caribbean,2014,0,0,0,0,0,1.350898039,0,0,0,0,0,4.626123841,5000
Morocco,Africa,2014,0.399250766,0.165035117,0.093683129,0.071870082,0.040529811,0.770368905,0.590844519,0.164801894,0.154808989,0.089320072,0.040529811,1.749562583,33921000
Mozambique,Africa,2014,0.244354152,0.894183114,0.552810119,0.15540096,0.049996915,1.89674526,0.283779367,0.030674128,0.271216133,0.027493184,0.049996915,0.869687212,27216000
Myanmar,Asia,2014,0.943368628,0.004774114,0.530353597,0.284100662,0.119043048,1.881640049,0.860316638,0.005477577,0.331934638,0.051331445,0.119043048,1.548677784,53437000
Namibia,Africa,2014,0.137549479,1.518166932,0.328845915,4.514283337,0.019803384,6.518649047,0.335598007,0.169916452,0.243692854,0.246360827,0.019803384,2.086595475,2403000
Nepal,Asia,2014,0.3864916,0.047150266,0.058171204,0.004998311,0.109888903,0.606700284,0.439560727,0.060005418,0.209811332,0.004817574,0.109888903,1.026344543,28175000
Netherlands,Europe,2014,0.227461397,0.043001267,0.078022887,0.426335133,0.08940336,0.864224044,0.996576422,0.506549335,0.39778142,0.077867817,0.08940336,5.923473087,16868000
Nicaragua,Latin America and the Caribbean,2014,0.362536706,0.587926191,0.729382204,0.490598792,0.043130525,2.213574418,0.287030725,0.255036469,0.418839559,0.030580757,0.043130525,1.475227205,6014000
Niger,Africa,2014,0.875140669,0.465919954,0.04543318,0.000577112,0.041633506,1.428704421,0.903220857,0.452335704,0.244835437,0.024510238,0.041633506,1.755182759,19114000
Nigeria,Africa,2014,0.506344123,0.11359229,0.014100983,0.017804969,0.05233098,0.704173344,0.539949746,0.094684026,0.187596774,0.060936117,0.05233098,1.115306778,177476000
Norway,Europe,2014,0.282180375,0.595296499,3.49523744,2.983670503,0.05521287,7.411597687,0.965323944,0.327358839,0.895567858,1.003321133,0.05521287,6.032746434,5148000
Oman,Asia,2014,0.049597902,0.034410635,0.000887299,1.271911016,0.184942117,1.541748969,0.452703132,0.340214874,0.151006765,0.335028682,0.184942117,6.315752258,4236000
Pakistan,Asia,2014,0.307451618,0.003791139,0.008764854,0.034904131,0.042505098,0.39741684,0.312222434,0.001096922,0.082634586,0.0140419,0.042505098,0.788661662,185044000
Panama,Latin America and the Caribbean,2014,0.14723771,0.427861549,1.687561428,0.599877478,0.026672347,2.889210511,0.358272813,0.40328326,0.180740459,0.329823278,0.026672347,2.32487834,3868000
Papua New Guinea,Oceania,2014,0.404268387,0.036206267,2.533678638,0.703083923,0.156084387,3.833321604,0.33149305,0.040738616,0.359939649,0.702359781,0.156084387,1.849228212,7464000
Paraguay,Latin America and the Caribbean,2014,2.466455133,2.34691694,5.382388668,0.053039465,0.123533305,10.37233351,0.776196821,1.446684986,0.871800993,0.007932602,0.123533305,3.675733926,6553000
Peru,Latin America and the Caribbean,2014,0.32195654,0.502906331,2.697459324,0.198213658,0.067697847,3.788233699,0.456103457,0.491086016,0.185732636,0.364451206,0.067697847,2.294237472,30973000
Philippines,Asia,2014,0.343180836,0.015671951,0.093094526,0.066441719,0.060056538,0.578445571,0.35708093,0.02580577,0.093490062,0.204391058,0.060056538,1.104289718,99139000
Poland,Europe,2014,1.058725674,0.066727254,0.75440923,0.107192472,0.088710762,2.075765392,0.836747909,0.046973971,0.844607146,0.07046321,0.088710762,4.442619659,38620000
Portugal,Europe,2014,0.252336872,0.06392476,0.85527484,0.07429165,0.024468741,1.270296863,0.838881159,0.27329386,0.137646374,0.325768577,0.024468741,3.687876485,10402000
Qatar,Asia,2014,0.008890859,8.50E-05,0,1.116275852,0.052148931,1.177400635,0.491825362,0.302089604,0.203046804,0.190718122,0.052148931,15.65398181,2172000
Réunion,Africa,2014,0,0,0,0,0,0.186221978,0,0,0,0,0,5.433471441,855000
Romania,Europe,2014,1.228234347,0.12242085,1.275366681,0.092618214,0.159545909,2.878186001,0.793326417,0.067791767,0.349461384,0.036216794,0.159545909,2.798524692,19652000
Russian Federation,Europe,2014,0.968268991,0.344267428,4.332732888,1.194291885,0.037207863,6.876769056,0.9247617,0.146556739,0.683847511,0.198161059,0.037207863,5.568220041,143429000
Rwanda,Africa,2014,0.351389059,0.051975704,0.014356248,0.005414143,0.047568212,0.470703366,0.351889107,0.034859483,0.247591545,0.012236618,0.047568212,0.775231504,11342000
Saint Lucia,Latin America and the Caribbean,2014,0.082190837,0.001493426,0.093951757,0.140583465,0.001923422,0.320142908,0.369771635,0.102309454,0.109695202,0.250906776,0.001923422,2.051343528,184000
Samoa,Oceania,2014,0,0,0,0,0,1.878051337,0,0,0,0,0,2.386064846,192000
Sao Tome and Principe,Africa,2014,0,0,0,0,0,1.019811407,0,0,0,0,0,1.785786411,186000
Saudi Arabia,Asia,2014,0.054600238,0.109740025,0.059446753,0.165125455,0.024575796,0.413488266,0.744028376,0.237494406,0.217068237,0.079347718,0.024575796,6.002629332,30887000
Senegal,Africa,2014,0.201449729,0.16515801,0.426198855,0.162084301,0.026325066,0.981215961,0.3207615,0.188025582,0.199600612,0.108771516,0.026325066,1.111991705,14673000
Serbia,Europe,2014,1.090953888,0.017694281,0.494621585,0.003519955,0.064315749,1.671105458,0.806878115,0.006191772,0.485201537,0.029192916,0.064315749,2.918717046,8893000
Sierra Leone,Africa,2014,0.454900497,0.337747235,0.186127012,0.214200987,0.05946452,1.25244025,0.505306432,0.10752199,0.361930843,0.110927366,0.05946452,1.226873206,6316000
Singapore,Asia,2014,0.000882023,0,0.002384712,0.013125142,0.042258644,0.058650521,0.583682877,0.236097871,0.346808203,0.234337289,0.042258644,5.85738805,5507000
Slovakia,Europe,2014,0.958279576,0.055317627,1.838969546,0.002184928,0.125234131,2.979985807,0.650187386,0.132817245,0.674869541,0.042101587,0.125234131,4.195545513,5423000
Slovenia,Europe,2014,0.300963447,0.086826107,1.85566008,0.004252922,0.024921849,2.272624405,0.656669925,0.182056083,0.93016321,0.046552405,0.024921849,4.675454359,2066000
Somalia,Africa,2014,0.052666399,0.552489435,0.210679592,0.326842269,0.032934289,1.175611983,0.129076617,0.458285134,0.530630235,0.005757385,0.032934289,1.2088653,10518000
South Africa,Africa,2014,0.293456403,0.563987595,0.019347229,0.166106439,0.035049346,1.077947013,0.33380893,0.109995929,0.233864395,0.08896153,0.035049346,3.415378922,53969000
South Sudan,Africa,2014,0.262876014,0.989064319,0.33946147,0,0.047568176,1.638969979,0.310986686,0.989305571,0.14595795,0.004936123,0.047568176,1.542089326,11911000
Spain,Europe,2014,0.794662173,0.098343729,0.33712952,0.059184248,0.038755653,1.328075323,0.842889373,0.148714572,0.210784216,0.376544602,0.038755653,3.805943048,46260000
